city,lat,lng,country,population,lat_rad,lng_rad,airport_id,own_airport,Linked
Hong Kong,22.305,114.185,Hong Kong,7347000.0,0.3892956896573352,1.992904206389725,"[3077, 4390]",1.0,False
Khartoum,15.6031,32.5265,Sudan,7282000.0,0.2723254685179272,0.5676945191499356,[1175],1.0,False
Nantong,31.9829,120.8873,China,7282835.0,0.5582069093360944,2.1098814088461406,[12053],0.0,False
Yancheng,33.3936,120.1339,China,7260240.0,0.5828282690939784,2.096732098261616,[6393],1.0,False
Foshan,23.0292,113.1056,China,7194311.0,0.4019353641002781,1.9740651224436985,[7457],1.0,False
Nanning,22.8192,108.315,China,7153300.0,0.3982701726710901,1.890453379297658,[3373],1.0,False
Hengyang,26.8968,112.5857,China,7148344.0,0.4694377182504108,1.96499115566258,[10942],1.0,False
Xi’an,34.2667,108.9,China,7135000.0,0.5980667387931409,1.900663555421825,[7052],0.0,False
Shenyang,41.8039,123.4258,China,7105000.0,0.7296156951744575,2.154186591908017,"[4144, 12057]",1.0,False
Tangshan,39.6292,118.1742,China,7100000.0,0.6916600199313367,2.0625288809102833,[3368],0.0,False
Shaoyang,27.2418,111.4725,China,7071000.0,0.4754591041697913,1.945562150429379,[13229],1.0,False
Changsha,28.1987,112.9709,China,7044118.0,0.492160159782125,1.971714163941262,[14091],1.0,False
Santiago,-33.45,-70.6667,Chile,7007000.0,-0.5838126347921033,-1.233366586519077,"[2643, 2650, 2663]",1.0,False
Zhengzhou,34.7492,113.6605,China,7005000.0,0.6064879524340135,1.9837499544630148,[3375],1.0,False
Zhanjiang,21.1967,110.4031,China,6900000.0,0.3699522055574821,1.9268975994085515,[6357],1.0,False
Riyadh,24.65,46.71,Saudi Arabia,6881000.0,0.4302236606166022,0.8152432936065513,"[2082, 11902]",1.0,False
Cangzhou,38.3037,116.8452,China,6800000.0,0.668525680696152,2.0393334551512785,[3368],0.0,False
Dar es Salaam,-6.8,39.2833,Tanzania,6698000.0,-0.1186823891356144,0.6856229260486884,[1177],0.0,False
Maoming,21.6618,110.9178,China,6706000.0,0.3780697319085077,1.9358808090685664,[6357],0.0,False
Huanggang,30.45,114.875,China,6667000.0,0.5314527572322734,2.0049469782284857,[3376],0.0,False
Xinyang,32.1264,114.0672,China,6634000.0,0.5607114568127062,1.990848208530876,[3376],0.0,False
Shangrao,28.4419,117.9633,China,6579714.0,0.4964048005229752,2.058847981517827,[13472],1.0,False
Luoyang,34.6587,112.4245,China,6549941.0,0.6049084294609588,1.962177684908365,[4148],1.0,False
Bijie,27.3019,105.2863,China,6537498.0,0.4765080470502399,1.8375925922425056,[9025],1.0,False
Yantai,37.3997,121.2664,China,6516900.0,0.6527479042581233,2.116497952040452,[3392],1.0,False
Quanzhou,24.9139,118.5858,China,6480000.0,0.4348295845126153,2.069712656111492,[6386],1.0,False
Hangzhou,30.25,120.1675,China,6446000.0,0.5279620987282847,2.0973185288902862,[3386],1.0,False
Miami,25.7839,-80.2102,United States,6445545.0,0.4500139490049659,-1.3999320836831557,"[3576, 3721, 3791]",1.0,False
Kunming,25.0433,102.7061,China,6250000.0,0.4370880405646959,1.7925596068825482,[3382],1.0,False
Nanchong,30.7991,106.0784,China,6183000.0,0.5375457016509856,1.8514173452475529,[6401],1.0,False
Zunyi,27.705,106.9336,China,6127009.0,0.483543469265029,1.8663434010106084,"[9846, 13476]",1.0,False
Lu’an,31.7542,116.5078,China,6090000.0,0.5542153413367834,2.0334447142550496,[3389],0.0,False
Yichun,27.8041,114.383,China,6048700.0,0.4852730905537554,1.9963599583086742,[9107],1.0,False
Taizhou,28.6583,121.4221,China,5968838.0,0.5001816930242909,2.119215429685807,[6384],0.0,False
Liaocheng,36.45,115.9833,China,5955300.0,0.6361725123519332,2.0242904623283398,[4108],0.0,False
